"","Sale_Price","Gr_Liv_Area","Garage_Cars","Garage_Area","Total_Bsmt_SF","First_Flr_SF","Year_Built","Full_Bath","Year_Remod_Add","Mas_Vnr_Area","TotRms_AbvGrd"
"1",215000,1656,2,528,1080,1656,1960,1,1960,112,7
"2",105000,896,1,730,882,896,1961,1,1961,0,5
"3",172000,1329,1,312,1329,1329,1958,1,1958,108,6
"4",244000,2110,2,522,2110,2110,1968,2,1968,0,8
"5",189900,1629,2,482,928,928,1997,2,1998,0,6
"6",195500,1604,2,470,926,926,1998,2,1998,20,7
"7",213500,1338,2,582,1338,1338,2001,2,2001,0,6
"8",191500,1280,2,506,1280,1280,1992,2,1992,0,5
"9",236500,1616,2,608,1595,1616,1995,2,1996,0,5
"10",189000,1804,2,442,994,1028,1999,2,1999,0,7
"11",175900,1655,2,440,763,763,1993,2,1994,0,7
"12",185000,1187,2,420,1168,1187,1992,2,2007,0,6
"13",180400,1465,2,393,789,789,1998,2,1998,0,7
"14",171500,1341,2,506,1300,1341,1990,1,1990,0,5
"15",212000,1502,2,528,1488,1502,1985,1,1985,0,4
"16",538000,3279,3,841,1650,1690,2003,3,2003,603,12
"17",164000,1752,2,492,559,1080,1988,2,2005,0,8
"18",394432,1856,3,834,1856,1856,2010,1,2010,350,8
"19",141000,864,2,400,864,864,1951,1,1951,0,4
"20",210000,2073,2,500,1542,2073,1978,2,1988,119,7
"21",190000,1844,2,546,1844,1844,1977,2,1977,480,7
"22",170000,1173,2,528,1053,1173,1974,2,1974,81,6
"23",216000,1674,2,663,814,814,2000,2,2000,0,7
"24",149000,1004,2,480,1004,1004,1970,1,1970,180,5
"25",149900,1078,2,500,1078,1078,1971,1,2008,0,6
"26",142000,1056,1,304,1056,1056,1968,1,1968,0,6
"27",126000,882,2,525,882,882,1970,1,1970,0,4
"28",115000,864,0,0,864,864,1971,1,1971,0,5
"29",184000,1337,2,511,1405,1337,1999,2,1999,0,5
"30",96000,987,1,264,483,483,1971,1,1971,504,5
"31",105500,1092,1,320,525,525,1971,1,1971,492,6
"32",88000,1092,1,264,525,525,1971,1,1971,381,6
"33",127500,1069,2,440,1069,1069,1977,2,1977,0,4
